time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
218000,2022-05-13 16:31:49,-34.4382478121455,-59.0503590938705,229.986884,,,319.3652313483,38.057744,0,581.01707896,633.30382604,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,53, 0.9, -2.5,0,0,1024,1024,1024,759,0,0,0,-40,52.9,-1.2,0,89,,,,,,,16.506,87.44,319.3652313483,229.986884,6,P-GPS,
218100,2022-05-13 16:31:50,-34.438247747585,-59.0503591563613,229.986884,,,319.3652313483,38.057744,0,580.99083224,633.3333536,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,50.8, 0.8, -2.4,0,0,1024,1024,1024,788,0,0,0,-36,50.7,-1.2,0,89,,,,,,,16.506,87.44,319.3652313483,229.986884,6,P-GPS,
218200,2022-05-13 16:31:50,-34.4382477171552,-59.0503591930912,229.6588,,,319.0371473483,38.057744,0,580.97770888,633.3497578,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,48.6, 0.6, -2.4,0,0,1024,1024,1024,789,0,0,0,-36,48.7,-1.2,0,89,,,,,,,16.506,87.44,319.0371473483,229.6588,6,P-GPS,
218300,2022-05-13 16:31:50,-34.4382476963204,-59.0503592326465,229.6588,,,319.0371473483,38.057744,0,580.96130468,633.36288116,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,46.6, 0.3, -2.3,0,0,1024,1024,1024,796,0,0,0,-35,47,-1.2,0,89,,,,,,,16.506,87.44,319.0371473483,229.6588,6,P-GPS,
218400,2022-05-13 16:31:50,-34.4382476718532,-59.050359306605,229.6588,,,319.0371473483,38.057744,0,580.9383388,633.38584704,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,44.6, 0, -2.4,0,0,1024,1024,1024,843,0,0,0,-27,45.3,-1.2,0,89,,,,,,,16.506,87.44,319.0371473483,229.6588,6,P-GPS,
218500,2022-05-13 16:31:50,-34.4382476728813,-59.0503593288756,229.6588,,,319.0371473483,38.057744,0,580.93177712,633.39240872,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,42.8, -0.5, -2.7,0,0,1024,1024,1024,988,0,0,0,-5,43.6,-1.2,0,89,,,,,,,16.506,87.44,319.0371473483,229.6588,6,P-GPS,
218600,2022-05-13 16:31:50,-34.4382476764451,-59.0503593469913,229.6588,,,319.0371473483,38.057744,0,580.92849628,633.3989704,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,41.2, -0.6, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,42.4,-1.2,0,89,,,,,,,16.506,87.44,319.0371473483,229.6588,6,P-GPS,
218700,2022-05-13 16:31:50,-34.4382476947441,-59.0503593797325,229.6588,,,319.0371473483,38.057744,0,580.9219346,633.41209376,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,40, -0.7, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,42.2,-1.2,0,89,,,,,,,16.506,87.44,319.0371473483,229.6588,6,P-GPS,
218800,2022-05-13 16:31:50,-34.4382477183203,-59.050359470477,229.6588,,,319.0371473483,38.057744,0,580.89896872,633.43834048,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,39.4, -0.8, -2.8,0,0,1024,1024,1024,1024,0,0,0,0,42.2,-1.2,0,89,,,,,,,16.506,87.44,319.0371473483,229.6588,6,P-GPS,
218900,2022-05-13 16:31:50,-34.438247739772,-59.0503594904209,229.6588,,,319.0371473483,38.057744,0,580.89568788,633.448183,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,39, -1, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,42.2,-1.2,0,89,,,,,,,16.53,87.44,319.0371473483,229.6588,6,P-GPS,
219000,2022-05-13 16:31:50,-34.4382477612921,-59.0503595035506,229.6588,,,319.0371473483,38.057744,0,580.89568788,633.45802552,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,38.9, -1.3, -2.9,0,0,1024,1024,1024,1015,0,0,0,-1,42.2,-1.2,0,89,,,,,,,16.53,87.44,319.0371473483,229.6588,6,P-GPS,
219100,2022-05-13 16:31:51,-34.4382477800709,-59.0503595470947,229.6588,,,319.0371473483,38.057744,0,580.88584536,633.47442972,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,38.8, -1.3, -2.9,0,0,1024,1024,1024,729,0,0,0,-45,42.2,-1.2,0,89,,,,,,,16.53,87.44,319.0371473483,229.6588,6,P-GPS,
219200,2022-05-13 16:31:51,-34.4382477914478,-59.0503595510834,229.6588,,,319.0371473483,38.057744,0,580.88584536,633.47771056,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,38.7, -1.2, -3,0,0,1024,1024,1024,636,0,0,0,-59,42,-1.2,0,89,,,,,,,16.53,87.44,319.0371473483,229.6588,6,P-GPS,
219300,2022-05-13 16:31:51,-34.4382477943263,-59.0503595502524,229.6588,,,319.0371473483,38.057744,0,580.88584536,633.47771056,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,38.3, -1, -2.9,0,0,1024,1024,1024,604,0,0,0,-64,39.9,-1.2,0,89,,,,,,,16.53,87.44,319.0371473483,229.6588,6,P-GPS,
219400,2022-05-13 16:31:51,-34.4382477915163,-59.0503595424411,229.6588,,,319.0371473483,38.057744,0,580.8891262,633.4809914,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,36.8, -0.9, -2.6,0,0,1024,1024,1024,597,0,0,0,-65,36.8,-1.2,0,89,,,,,,,16.53,87.44,319.0371473483,229.6588,6,P-GPS,
219500,2022-05-13 16:31:51,-34.4382478025505,-59.0503595527454,229.6588,,,319.0371473483,38.057744,0,580.88584536,633.48755308,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,34.3, -0.8, -2.4,0,0,1024,1024,1024,571,0,0,0,-69,33.3,-1.2,0,89,,,,,,,16.53,87.44,319.0371473483,229.6588,6,P-GPS,
219600,2022-05-13 16:31:51,-34.4382478114602,-59.0503595321368,229.6588,,,319.0371473483,38.057744,0,580.89568788,633.49411476,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,31.1, -0.7, -2.4,0,0,1024,1024,1024,538,0,0,0,-74,29.5,-1.2,0,89,,,,,,,16.53,87.44,319.0371473483,229.6588,6,P-GPS,
219700,2022-05-13 16:31:51,-34.4382478091985,-59.0503595078717,229.6588,,,319.0371473483,38.057744,0,580.89896872,633.50067644,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,27.5, -0.8, -2.3,0,0,1024,1024,1024,525,0,0,0,-76,25.4,-1.2,0,89,,,,,,,16.53,87.44,319.0371473483,229.6588,6,P-GPS,
219800,2022-05-13 16:31:51,-34.43824780632,-59.0503594982322,229.6588,,,319.0371473483,38.057744,0,580.90224956,633.50395728,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,23.4, -1, -2.3,0,0,1024,1024,1024,525,0,0,0,-76,20.9,-1.2,0,89,,,,,,,16.53,87.44,319.0371473483,229.6588,6,P-GPS,
219900,2022-05-13 16:31:51,-34.4382478102951,-59.050359466322,229.6588,,,319.0371473483,38.057744,0,580.91209208,633.5137998,18,10,23.496,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,19, -1.3, -2.4,0,0,1024,1024,1024,527,0,0,0,-75,16.1,-1.2,0,89,,,,,,,16.234,87.44,319.0371473483,229.6588,6,P-GPS,
220000,2022-05-13 16:31:51,-34.4382478186564,-59.0503594294259,229.6588,,,319.0371473483,38.057744,0,580.92521544,633.52364232,18,10,23.496,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,14.4, -1.5, -2.4,0,0,1024,1024,1024,527,0,0,0,-75,11.3,-1.2,0,89,,,,,,,16.234,87.44,319.0371473483,229.6588,6,P-GPS,
220100,2022-05-13 16:31:51,-34.4382478341454,-59.05035940782,229.6588,,,319.0371473483,38.057744,0,580.93177712,633.53348484,18,10,23.496,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,9.6, -1.6, -2.3,0,0,1024,1024,1024,541,0,0,0,-73,6.4,-1.2,0,89,,,,,,,16.234,87.44,319.0371473483,229.6588,6,P-GPS,
220200,2022-05-13 16:31:52,-34.4382478438775,-59.0503594294259,229.6588,,,319.0371473483,38.057744,0,580.92849628,633.54004652,18,10,23.496,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,4.8, -1.8, -2,0,0,1024,1024,1024,597,0,0,0,-65,1.5,-1.2,0,89,,,,,,,16.234,87.44,319.0371473483,229.6588,6,P-GPS,
220300,2022-05-13 16:31:52,-34.4382478618338,-59.0503594141356,229.6588,,,319.0371473483,38.057744,0,580.93505796,633.54988904,18,10,23.496,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,0, -2, -1.8,0,0,1024,1024,1024,680,0,0,0,-52,356.8,-1.2,0,89,,,,,,,16.234,87.44,319.0371473483,229.6588,6,P-GPS,
220400,2022-05-13 16:31:52,-34.4382478837652,-59.0503593998425,229.6588,,,319.0371473483,38.057744,0,580.94161964,633.55645072,18,10,23.496,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,355.2, -2.2, -1.5,0,0,1024,1024,1024,837,0,0,0,-28,354.6,-1.2,0,89,,,,,,,16.234,87.44,319.0371473483,229.6588,6,P-GPS,
220500,2022-05-13 16:31:52,-34.4382478888368,-59.0503594028341,229.6588,,,319.0371473483,38.057744,0,580.94161964,633.55973156,18,10,23.496,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,351, -2.4, -1.2,0,0,1024,1024,1024,918,0,0,0,-16,349,-1.2,0,89,,,,,,,16.234,87.44,319.0371473483,229.6588,6,P-GPS,
220600,2022-05-13 16:31:52,-34.4382479068617,-59.0503593820592,229.6588,,,319.0371473483,38.057744,0,580.94818132,633.56957408,18,10,23.496,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,347.5, -2.4, -1,0,0,1024,1024,1024,927,0,0,0,-15,346.8,-1.2,0,89,,,,,,,16.234,87.44,319.0371473483,229.6588,6,P-GPS,
220700,2022-05-13 16:31:52,-34.4382479240641,-59.0503593385152,229.6588,,,319.0371473483,38.057744,0,580.96458552,633.58269744,18,10,23.496,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,345.1, -2.6, -0.9,0,0,1024,1024,1024,970,0,0,0,-8,346.1,-1.2,0,89,,,,,,,16.234,87.44,319.0371473483,229.6588,6,P-GPS,
220800,2022-05-13 16:31:52,-34.4382479372915,-59.0503592986274,229.6588,,,319.0371473483,38.057744,0,580.97770888,633.5958208,18,10,23.496,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,343.5, -2.7, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,345.6,-1.2,0,89,,,,,,,16.234,87.44,319.0371473483,229.6588,6,P-GPS,
220900,2022-05-13 16:31:52,-34.4382479339332,-59.050359270706,229.6588,,,319.0371473483,38.057744,0,580.98427056,633.60566332,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,342.7, -2.7, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,345.4,-1.2,0,89,,,,,,,16.476,87.62,319.0371473483,229.6588,6,P-GPS,
221000,2022-05-13 16:31:52,-34.4382479368117,-59.0503592570777,229.986884,,,319.3652313483,38.057744,0,580.9875514,633.60894416,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,342.2, -2.7, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,345.4,-1.2,0,89,,,,,,,16.476,87.62,319.3652313483,229.986884,6,P-GPS,
221100,2022-05-13 16:31:53,-34.4382479474347,-59.0503592688779,229.986884,,,319.3652313483,38.057744,0,580.9875514,633.61550584,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,341.9, -2.5, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,345.4,-1.2,0,89,,,,,,,16.476,87.62,319.3652313483,229.986884,6,P-GPS,
221200,2022-05-13 16:31:53,-34.4382479604565,-59.0503593077684,229.986884,,,319.3652313483,38.057744,0,580.97770888,633.6286292,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,341.8, -2.4, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,345.4,-1.2,0,89,,,,,,,16.476,87.62,319.3652313483,229.986884,6,P-GPS,
221300,2022-05-13 16:31:53,-34.4382479660764,-59.0503593110923,229.986884,,,319.3652313483,38.057744,0,580.97770888,633.6286292,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,341.8, -2.4, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,345.4,-1.2,0,89,,,,,,,16.476,87.62,319.3652313483,229.986884,6,P-GPS,
221400,2022-05-13 16:31:53,-34.4382479694346,-59.0503593076022,229.986884,,,319.3652313483,38.057744,0,580.97770888,633.63191004,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,341.7, -2.4, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,345.4,-1.2,0,89,,,,,,,16.476,87.62,319.3652313483,229.986884,6,P-GPS,
221500,2022-05-13 16:31:53,-34.4382479651854,-59.050359304112,229.986884,,,319.3652313483,38.057744,0,580.97770888,633.63191004,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,341.7, -2.5, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,345.4,-1.2,0,89,,,,,,,16.476,87.62,319.3652313483,229.986884,6,P-GPS,
221600,2022-05-13 16:31:53,-34.4382479581263,-59.0503593456617,229.986884,,,319.3652313483,38.057744,0,580.96458552,633.6450334,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,341.7, -2.6, -0.6,0,0,1024,1024,1024,985,0,0,0,-6,345.4,-1.2,0,89,,,,,,,16.476,87.62,319.3652313483,229.986884,6,P-GPS,
221700,2022-05-13 16:31:53,-34.4382479407868,-59.0503593428363,229.986884,,,319.3652313483,38.057744,0,580.96458552,633.65159508,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,341.7, -2.6, -0.6,0,0,1024,1024,1024,763,0,0,0,-40,345.4,-1.2,0,89,,,,,,,16.476,87.62,319.3652313483,229.986884,6,P-GPS,
221800,2022-05-13 16:31:53,-34.4382479206373,-59.0503593423377,229.986884,,,319.3652313483,38.057744,0,580.96130468,633.65815676,18,10,23.502,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,341.7, -2.4, -0.4,0,0,1024,1024,1024,557,0,0,0,-71,345.1,-1.2,0,89,,,,,,,16.476,87.62,319.3652313483,229.986884,6,P-GPS,
221900,2022-05-13 16:31:53,-34.4382478828742,-59.0503593687633,229.986884,,,319.3652313483,38.057744,0,580.94818132,633.67456096,18,10,23.49,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,341.1, -2.3, -0.3,0,0,1024,1024,1024,557,0,0,0,-71,342.7,-1.2,0,89,,,,,,,16.27,87.62,319.3652313483,229.986884,6,P-GPS,
222000,2022-05-13 16:31:53,-34.4382478619709,-59.0503593720873,229.986884,,,319.3652313483,38.057744,0,580.94490048,633.68440348,18,10,23.49,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,339.2, -2.1, -0.1,0,0,1024,1024,1024,642,0,0,0,-58,338.8,-1.2,0,89,,,,,,,16.27,87.62,319.3652313483,229.986884,6,P-GPS,
222100,2022-05-13 16:31:54,-34.4382478555971,-59.0503593762423,229.986884,,,319.3652313483,38.057744,0,580.94490048,633.68440348,18,10,23.49,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,336.1, -2, 0.3,0,0,1024,1024,1024,674,0,0,0,-53,334.7,-1.2,0,89,,,,,,,16.27,87.62,319.3652313483,229.986884,6,P-GPS,
222200,2022-05-13 16:31:54,-34.4382478534039,-59.0503593727521,229.986884,,,319.3652313483,38.057744,0,580.94490048,633.68768432,18,10,23.49,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,332.6, -2.2, 0.4,0,0,1024,1024,1024,720,0,0,0,-46,330.9,-1.2,0,89,,,,,,,16.27,87.62,319.3652313483,229.986884,6,P-GPS,
222300,2022-05-13 16:31:54,-34.4382478662886,-59.0503593867128,229.986884,,,319.3652313483,38.057744,0,580.94161964,633.694246,18,10,23.49,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,329.1, -2.4, 0.2,0,0,1024,1024,1024,728,0,0,0,-45,327.7,-1.2,0,89,,,,,,,16.27,87.62,319.3652313483,229.986884,6,P-GPS,
222400,2022-05-13 16:31:54,-34.4382478695098,-59.0503593739155,229.6588,,,319.0371473483,38.057744,0,580.94490048,633.69752684,18,10,23.49,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,325.9, -2.6, 0,0,0,1024,1024,1024,803,0,0,0,-33,324.9,-1.2,0,89,,,,,,,16.27,87.62,319.0371473483,229.6588,6,P-GPS,
222500,2022-05-13 16:31:54,-34.4382478732792,-59.0503593631126,229.6588,,,319.0371473483,38.057744,0,580.94818132,633.70080768,18,10,23.49,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,322.9, -2.8, 0,0,0,1024,1024,1024,916,0,0,0,-16,322.6,-1.2,0,89,,,,,,,16.27,87.62,319.0371473483,229.6588,6,P-GPS,
222600,2022-05-13 16:31:54,-34.4382478880829,-59.0503593694281,229.6588,,,319.0371473483,38.057744,0,580.95146216,633.70736936,18,10,23.49,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,320.4, -2.6, 0.2,0,0,1024,1024,1024,972,0,0,0,-8,320.6,-1.2,0,89,,,,,,,16.27,87.62,319.0371473483,229.6588,6,P-GPS,
222700,2022-05-13 16:31:54,-34.4382478826001,-59.0503593764085,229.6588,,,319.0371473483,38.057744,0,580.94818132,633.7106502,18,10,23.49,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,318.4, -2.4, 0.7,0,0,1024,1024,1024,999,0,0,0,-4,319.7,-1.2,0,89,,,,,,,16.27,87.62,319.0371473483,229.6588,6,P-GPS,
222800,2022-05-13 16:31:54,-34.4382478808867,-59.050359388541,229.6588,,,319.0371473483,38.057744,0,580.94490048,633.71393104,18,10,23.49,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,317.1, -2.3, 1.1,0,0,1024,1024,1024,1018,0,0,0,-1,319.4,-1.2,0,89,,,,,,,16.27,87.62,319.0371473483,229.6588,6,P-GPS,
222900,2022-05-13 16:31:54,-34.4382479012418,-59.0503594261019,229.986884,,,319.3652313483,38.057744,0,580.93505796,633.7270544,18,10,23.52,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,316.4, -2.3, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,319.4,-1.2,0,89,,,,,,,15.5,87.62,319.3652313483,229.986884,6,P-GPS,
223000,2022-05-13 16:31:54,-34.4382479163196,-59.0503594709756,229.986884,,,319.3652313483,38.057744,0,580.92521544,633.74017776,18,10,23.52,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.9, -2.1, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,319.4,-1.2,0,89,,,,,,,15.5,87.62,319.3652313483,229.986884,6,P-GPS,
223100,2022-05-13 16:31:55,-34.4382479581263,-59.0503595012238,229.986884,,,319.3652313483,38.057744,0,580.9219346,633.7598628,18,10,23.52,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.8, -2.1, 1.8,0,0,1024,1024,1024,1024,0,0,0,0,319.4,-1.2,0,89,,,,,,,15.5,87.62,319.3652313483,229.986884,6,P-GPS,
223200,2022-05-13 16:31:55,-34.4382480091853,-59.0503595284804,229.986884,,,319.3652313483,38.057744,0,580.9219346,633.77954784,18,10,23.52,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.7, -2.2, 1.9,0,0,1024,1024,1024,1024,0,0,0,0,319.4,-1.2,0,89,,,,,,,15.5,87.62,319.3652313483,229.986884,6,P-GPS,
223300,2022-05-13 16:31:55,-34.4382480764872,-59.0503595708611,229.986884,,,319.3652313483,38.057744,0,580.91865376,633.80579456,18,10,23.52,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.8, -2.4, 2,0,0,1024,1024,1024,1024,0,0,0,0,319.4,-1.2,0,89,,,,,,,15.5,87.62,319.3652313483,229.986884,6,P-GPS,
223400,2022-05-13 16:31:55,-34.4382481090416,-59.050359585819,229.986884,,,319.3652313483,38.057744,0,580.91865376,633.81891792,18,10,23.52,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.8, -2.5, 2,0,0,1024,1024,1024,1024,0,0,0,0,319.4,-1.2,0,89,,,,,,,15.5,87.62,319.3652313483,229.986884,6,P-GPS,
223500,2022-05-13 16:31:55,-34.4382481268608,-59.0503595981177,229.986884,,,319.3652313483,38.057744,0,580.91865376,633.82876044,18,10,23.52,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.8, -2.5, 1.8,0,0,1024,1024,1024,1024,0,0,0,0,319.4,-1.2,0,89,,,,,,,15.5,87.62,319.3652313483,229.986884,6,P-GPS,
223600,2022-05-13 16:31:55,-34.438248136867,-59.0503596095854,229.986884,,,319.3652313483,38.057744,0,580.91537292,633.83204128,18,10,23.52,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.7, -2.4, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,319.4,-1.2,0,89,,,,,,,15.5,87.62,319.3652313483,229.986884,6,P-GPS,
223700,2022-05-13 16:31:55,-34.4382481452969,-59.0503596491407,229.986884,,,319.3652313483,38.057744,0,580.9055304,633.84516464,18,10,23.52,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.7, -2.4, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,319.4,-1.2,0,89,,,,,,,15.5,87.62,319.3652313483,229.986884,6,P-GPS,
223800,2022-05-13 16:31:55,-34.438248159895,-59.0503596634338,229.6588,,,319.0371473483,38.057744,0,580.9055304,633.85172632,18,10,23.52,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.6, -2.4, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,319.4,-1.2,0,89,,,,,,,15.5,87.62,319.0371473483,229.6588,6,P-GPS,
223900,2022-05-13 16:31:55,-34.4382481740133,-59.0503596734058,229.6588,,,319.0371473483,38.057744,0,580.90224956,633.858288,18,10,23.526,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.6, -2.4, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,319.4,-1.2,0,89,,,,,,,15.43,87.62,319.0371473483,229.6588,6,P-GPS,
224000,2022-05-13 16:31:55,-34.4382481869665,-59.0503596876989,229.6588,,,319.0371473483,38.057744,0,580.90224956,633.86484968,18,10,23.526,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.6, -2.4, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,319.4,-1.2,0,89,,,,,,,15.43,87.62,319.0371473483,229.6588,6,P-GPS,
224100,2022-05-13 16:31:55,-34.4382482019758,-59.0503596988342,229.6588,,,319.0371473483,38.057744,0,580.89896872,633.87141136,18,10,23.526,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.6, -2.3, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,319.4,-1.2,0,89,,,,,,,15.43,87.62,319.0371473483,229.6588,6,P-GPS,
224200,2022-05-13 16:31:56,-34.4382482189041,-59.0503597126287,229.6588,,,319.0371473483,38.057744,0,580.89896872,633.87797304,18,10,23.526,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.6, -2.2, 1.8,0,0,1024,1024,1024,1024,0,0,0,0,319.4,-1.2,0,89,,,,,,,15.43,87.62,319.0371473483,229.6588,6,P-GPS,
224300,2022-05-13 16:31:56,-34.4382482352156,-59.0503597235978,229.6588,,,319.0371473483,38.057744,0,580.89896872,633.88453472,18,10,23.526,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.7, -2.2, 1.8,0,0,1024,1024,1024,1024,0,0,0,0,319.4,-1.2,0,89,,,,,,,15.43,87.62,319.0371473483,229.6588,6,P-GPS,
224400,2022-05-13 16:31:56,-34.4382482660566,-59.0503597390543,229.6588,,,319.0371473483,38.057744,0,580.89568788,633.89765808,18,10,23.526,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.7, -2.1, 2,0,0,1024,1024,1024,1024,0,0,0,0,319.4,-1.2,0,89,,,,,,,15.43,87.62,319.0371473483,229.6588,6,P-GPS,
224500,2022-05-13 16:31:56,-34.4382482682497,-59.0503597373923,229.6588,,,319.0371473483,38.057744,0,580.89896872,633.89765808,18,10,23.526,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.7, -2.2, 1.9,0,0,1024,1024,1024,1013,0,0,0,-2,319.4,-1.2,0,89,,,,,,,15.43,87.62,319.0371473483,229.6588,6,P-GPS,
224600,2022-05-13 16:31:56,-34.4382482620815,-59.0503597267555,229.6588,,,319.0371473483,38.057744,0,580.89896872,633.90093892,18,10,23.526,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.7, -2.2, 1.7,0,0,1024,1024,1024,911,0,0,0,-17,319.4,-1.2,0,89,,,,,,,15.43,87.62,319.0371473483,229.6588,6,P-GPS,
224700,2022-05-13 16:31:56,-34.4382482636578,-59.0503597079751,229.6588,,,319.0371473483,38.057744,0,580.9055304,633.9075006,18,10,23.526,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.7, -2.5, 1.4,0,0,1024,1024,1024,801,0,0,0,-34,319.4,-1.2,0,89,,,,,,,15.43,87.62,319.0371473483,229.6588,6,P-GPS,
224800,2022-05-13 16:31:56,-34.4382482563931,-59.0503596883636,229.6588,,,319.0371473483,38.057744,0,580.90881124,633.91406228,18,10,23.526,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.7, -2.6, 1.3,0,0,1024,1024,1024,703,0,0,0,-49,318.9,-1.2,0,89,,,,,,,15.43,87.62,319.0371473483,229.6588,6,P-GPS,
224900,2022-05-13 16:31:56,-34.4382482442623,-59.0503596750677,229.6588,,,319.0371473483,38.057744,0,580.91209208,633.92062396,18,10,23.532,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,315.4, -2.5, 1.4,0,0,1024,1024,1024,660,0,0,0,-55,317.5,-1.2,0,89,,,,,,,15.25,87.62,319.0371473483,229.6588,6,P-GPS,
225000,2022-05-13 16:31:56,-34.4382482291159,-59.0503596637662,229.6588,,,319.0371473483,38.057744,0,580.91209208,633.92718564,18,10,23.532,319.3652313483,229.986884,15.5243636,581.69621284,0,0,0,314.2, -2.2, 1.6,0,0,1024,1024,1024,653,0,0,0,-56,315.1,-1.2,0,89,,,,,,,15.25,87.62,319.0371473483,229.6588,6,P-GPS,
